id,name,provider,description,link,minAPR,maxAPR,minAmount,maxAmount,length,eligibleWork,organizationId
uuid-f-101,Atlantic City Electrical,NEIF (via Atlantic City Electrical),10 year only available for Home Improvement with Energy Star.,https://www.neifund.org/atlanticcityelectricresidential/,0%,0%,"$2,500","$15,000","-36 month
-60 months 
-84 month
-120 month",,"a4b5aa52-274d-4b1e-8f6b-3828f74c72d3
"
uuid-f-102,EnergyPlus,NEIF,Whole-home improvement financing,https://www.neifund.org/energyplus-improvement-loan/,9.99%,15.99%,"$2,500","$35,000","-36 month
-60 month
-120 month",,"a4b5aa52-274d-4b1e-8f6b-3828f74c72d3
"
uuid-f-103,PowerSwitch ZER0,Mosaic,Solar financing with zero payments for first 12 to 18 months,https://joinmosaic.com/powerswitch-zero/,7.99%,12.99%,"$10,001","$100,000","-120 month
-180 month
-240 month
-300 month",,"a4b5aa52-274d-4b1e-8f6b-3828f74c72d3
"